"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Ancula gibbosa","Tritonia gibbosa","Risso 1818",,
"Ancula gibbosa","Ancula pacifica","of SCAMIT Ed 8",,
"Okenia rosacea","Hopkinsia rosacea","MacFarland 1905",,
"Okenia vancouverensis","Idalia vancouverensis","O'Donoghue 1921",,
"Trapania velox","Thecacera velox","Cockerell 1901",,
"Trapania velox","Drepania velox","of MacFarland 1929",,
"Onchidoris bilamellata","Doris bilamellata","Linnaeus 1767",,
"Vayssierea felis","Trevelyana felis","Collingwood 1881",,
"Limacia cockerelli","Laila cockerelli","MacFarland 1905",,
"Limacia mcdonaldi","Laila cockerelli","""of authors NEP in part",,
"Limacia mcdonaldi","Limacia cockerelli","""of authors NEP in part",,
"Polycerella glandulosa","Polycera zoobotryon","of authors NEP not Smallwood 1910",,
"Triopha catalinae","Triopa catalinae","Cooper 1863",,
"Triopha catalinae","Triopha carpenteri","Stearns 1873",,
"Triopha catalinae","Triopha elioti","O'Donoghue 1921",,
"Triopha catalinae","Triopha modesta","Bergh 1880",,
"Triopha catalinae","Triopha scrippsiana","Cockerell 1915",,
"Triopha maculata","Triopha aurantiaca","Cockerell 1908",,
"Triopha maculata","Triopha grandis","MacFarland 1905",,
"Armina californica","Pleurophyllidia californica","Cooper 1863",,
"Armina californica","Armina columbiana","O'Donoghue 1924",,
"Armina californica","Armina digueti","Pruvot-Fol 1955",,
"Armina californica","Armina sp A","SCAMIT 2000 º",,
"Armina californica","Pleurophyllidia vancouveriensis","Bergh 1876",,
"Tochuina gigantea","Tritonia gigantea","Bergh 1904",,
"Tochuina gigantea","Sphaerostoma gigantea","of O'Donoghue 1926",,
"Tochuina gigantea","Sphaerostoma tetraquetra","of O'Donoghue 1924",,
"Tochuina gigantea","Tochuina tetraquetra","of authors NEP not (Pallas 1788)",,
"Tochuina gigantea","Tritonia tetraquetra","of Bergh 1879",,
"Tochuina gigantea","Tritoniopsilla tertaquetra","of Odhner 1936",,
"Tochuina gigantea","Tritoniopsis aurantia","Mattox 1955",,
"Tritonia festiva","Lateribranchaea festiva","Stearns 1873",,
"Tritonia festiva","Duvaucelia festiva","of MacFarland 1966",,
"Tritonia festiva","Sphaerostoma undulata","O'Donoghue 1924",,
"Tritonia festiva","Tritonia reticulata","Bergh 1881",,
"Tritonia festiva","Tritoniopsis palmeri","of Cockerell & Eliot 1903",,
"Tritonia tetraquetra","Limax tetraquetra","Pallas 1788",,
"Tritonia tetraquetra","Duvaucelia gilberti","MacFarland 1966",,
"Tritonia tetraquetra","Duvaucelia (Duvaucelia) septemtrionalis","Baba 1917",,
"Tritonia tetraquetra","Duvaucelia tetraquetra","of MacFarland 1966",,
"Tritonia tetraquetra","Sphaerostoma diomedea","of O'Donoghue 1924",,
"Tritonia tetraquetra","Tritonia diomedea","Bergh 1894",,
"Tritonia tetraquetra","Tritonia exsulans","Bergh 1894",,
"Tritonia tetraquetra","Tritonia palmeri","Cooper 1863",,
"Tritonia tetraquetra","Tritonia primorjensis","Minichev 1971",,
"Tritonia tetraquetra","Tritonia spoloides","Aurivillius 1887",,
"Dendronotus albus","Dendronotus diversicolor","of authors NEP not Robilliard 1970",,
"Dendronotus diversicolor","Dendrotus albus","of Stout et al 2010 in part",,
"Dendronotus iris","Dendronotus giganteus","O'Donoghue 1921",,
"Dendronotus iris","Dendronotus nanus","Marcus & Marcus 1967",,
"Dendronotus venustus","Dendronotus frondosus","of SCAMIT Ed 5 not (Ascanius 1774)",,
"Melibe leonina","Chioraera leonina","Gould 1852",,
"Orienthella cooperi","Coryphella cooperi","Cockerell 1901",,
"Orienthella cooperi","Flabellina cooperi","of SCAMIT Ed 11",,
"Orienthella trilineata","Coryphella trilineata","O'Donoghue 1921",,
"Orienthella trilineata","Coryphella fisheri","MacFarland 1966",,
"Orienthella trilineata","Coryphella piunca","Er. Marcus 1961",,
"Orienthella trilineata","Flabellina trilineata","of SCAMIT Ed 11",,
"Flabellinopsis iodinea","Aeolis (? Phidiana) iodinea","Cooper 1863",,
"Flabellinopsis iodinea","Coryphella iodinea","of Williams & Gosliner 1978",,
"Flabellinopsis iodinea","Coryphella sabulicola","Cowen & Laur 1978",,
"Flabellinopsis iodinea","Flabellina iodinea","of SCAMIT Ed 11",,
"Piseinotecusdivae","Precuthona divae","Er. Marcus 1961",,
"Piseinotecusdivae","Cuthona divae","of SCAMIT Ed 11",,
"Cumanotus fernaldi","Cumanotus beaumonti","of Turgeon et al 1988",,
"Cumanotus fernaldi","Cumanotus sp I","of Behrens & Hermosillo 2005",,
"Aeolidia loui","Aeolidia farinacea","(Stimpson 1854)",,
"Aeolidia loui","Aeolidia papillosa","of authors NEP not (Linnaeus 1761)",,
"Aeolidia loui","Aeolidia papillosa herculea","of MacFarland 1966 not Bergh 1894",,
"Anteaeolidiella chromosoma","Spurilla chromosoma","Cockerell & Eliot 1905",,
"Anteaeolidiella chromosoma","Aeolidiella chromosoma","(Cockerell & Eliot 1905)",,
"Anteaeolidiella oliviae","Aeolidiella oliviae","MacFarland 1966",,
"Anteaeolidiella oliviae","Spurilla oliviae","of Behrens 1980",,
"Anteaeolidiella takanosimensis","Aeolidiella takanosimensis","Baba 1930",,
"Anteaeolidiella takanosimensis","Anteaeolidiella indica","of SCAMIT Ed 11",,
"Cerberilla pungoarena","Cerberilla sp 1","Behrens 1991",,
"Babakina festiva","Babaina festiva","Roller 1972",,
"Austraeolis stearnsi","Facelina stearnsi","Cockerell 1901",,
"Hermissenda opalescens","Flabellina opalescens","Cooper 1863",,
"Hermissenda opalescens","Hermissenda crassicornis","of SCAMIT Ed 10",,
"Phidiana hiltoni","Facelina hiltoni","O'Donoghue 1927",,
"Phidiana hiltoni","Phidiana nigra","MacFarland 1966",,
"Phidiana hiltoni","Phidiana pugnax","Lance 1962",,
"Pacifia goddardi","Flabellina goddardi","Gosliner 2010",,
"Catriona columbiana","Amphorina columbiana","O'Donoghue 1922",,
"Catriona columbiana","Catriona alpha","of Behrens 1980",,
"Catriona columbiana","Cratena spadix","MacFarland 1966",,
"Catriona columbiana","Cuthona alpha","Baba & Hamatani 1963",,
"Diaphoreolis flavovulta","Cratena flavovulta","MacFarland 1966",,
"Diaphoreolis flavovulta","Cuthona flavovulta","of SCAMIT Ed 11",,
"Diaphoreolis lagunae","Hervia lagunae","O'Donoghue 1926",,
"Diaphoreolis lagunae","Cuthona lagunae","of SCAMIT Ed 11",,
"Diaphoreolis lagunae","Trinchesia lagunae","of Behrens 1980",,
"Tenellia adspersa","Tergipes adspersus","Nordmann 1845",,
"Tenellia adspersa","Tenellia pallida","of Cadien 1980",,
"Trinchesia albocrusta","Cratena albocrusta","MacFarland 1966",,
"Trinchesia albocrusta","Cuthona albocrusta","of SCAMIT Ed 11",,
"Zelentia fulgens","Cratena fulgens","MacFarland 1966",,
"Zelentia fulgens","Cuthona fulgens","of SCAMIT Ed 11",,
"Eubranchus rupium","Tergipes rupium","M÷ller 1842",,
"Eubranchus rupium","Eubranchus olivaceus","of Behrens 1980",,
"Eubranchus rupium","Galvina olivacea","O'Donoghue 1922",,
"Eubranchus rustyus","Capellinia rustya","Marcus 1961",,
"Abronica abronia","Cratena abronia","MacFarland 1966",,
"Abronica abronia","Cuthona abronia","of SCAMIT Ed 11",,
"Abronica abronia","Trinchesia abronia","of Behrens 1980",,
"Apatia pricei","Coryphella pricei","MacFarland 1966",,
"Apatia pricei","Flabellina pricei","of SCAMIT Ed 11",,
"Doto amyra","Doto ganda","Er. Marcus 1961",,
"Doto amyra","Doto varians","MacFarland 1966 in part",,
"Doto amyra","Doto wara","Er. Marcus 1961",,
"Doto kya","Doto varians","MacFarland 1966 in part",,
"Janolus anulatus","Janolus sp 1","of Behrens 1991",,
"Janolus barbarensis","Aolis barbarensis","Cooper 1863",,
"Janolus barbarensis","Antiopella aureocincta","MacFarland 1966",,
"Janolus barbarensis","Antiopella barbarensis","of MacFarland 1966",,
"Janolus barbarensis","Janolus fuscus","(O'Donoghue 1924)",,
"Berthella californica","Pleurobranchus californicus","Dall 1900",,
"Berthella californica","Berthella denticulatus","of Lee & Foster 1985",,
"Berthella californica","Pleurobranchus californicus denticulatus","MacFarland 1966",,
"Berthella californica","Pleurobranchus chacei","J. Burch 1944",,
"Berthella strongi","Pleurobranchus strongi","MacFarland 1966",,
"Berthellina ilisima","Berthellina citrina","(Ruppell & Leuckart 1828)",,
"Berthellina ilisima","Berthellina engeli","Gardner 1936",,
"Aplysia californica","Aplysia (Neaplysia) californica","Cooper 1863",,
"Aplysia californica","Aplysia nettiae","Winkler 1959",,
"Phyllaplysia taylori","Phyllaplysia zostericola","McCauley 1960",,
"Bulla gouldiana","Bulla nebulosa","of A. Adams 1850 ex. Gould MS not Schr÷ter 1804",,
"Sulcoretusa xystrum","Retusa xystrum","Dall 1919",,
"Sulcoretusa xystrum","Sulcularia xystrum","(Dall 1919)",,
"Volvulella californica","Rhizorus californicus","Dall 1919",,
"Volvulella cylindrica","Volvula cylindrica","Carpenter 1864",,
"Volvulella cylindrica","Volvulella callicera","Dall 1919",,
"Volvulella cylindrica","Volvulella cooperi","Dall 1919",,
"Volvulella cylindrica","Volvulella lowei","(Strong & Hertlein 1937)",,
"Volvulella panamica","Rhizorus panamicus","(Dall 1919)",,
"Volvulella panamica","Volvulella tenuissima","Willett 1944",,
"Acteocina carinata","Tornatina carinata","Carpenter 1856",,
"Acteocina carinata","Retusa (Acteocina) carinata","of Grant & Gale 1931",,
"Acteocina cerealis","Bulla (Tornatina) cerealis","Gould 1853",,
"Acteocina cerealis","Acteocina eximia","of SCAMIT Ed 4",,
"Acteocina cerealis","Bullina eximia","Baird 1863",,
"Acteocina cerealis","Acteocina culcitella eximia","of Willett 1928",,
"Acteocina cerealis","Acteocina culcitella intermedia","Willett 1928",,
"Acteocina cerealis","Cylichnella culcitella","of Gosliner 1979 not (Gould 1853)",,
"Acteocina cerealis","Tornatina eximia","of Pilsbry 1895",,
"Acteocina cerealis","Utriculastra culcitella","of Er. Marcus 1977",,
"Acteocina culcitella","Bulla (Akera) culcitella","Gould 1853",,
"Acteocina culcitella","Tornastra rolleri","Er. Marcus 1977",,
"Acteocina harpa","Tornatina harpa","Dall 1871",,
"Acteocina harpa","Acteocina oldroydi","Dall 1925",,
"Acteocina harpa","Acteocina (Coleophysis) harpa","of Abbott 1974",,
"Acteocina harpa","Cylichnella harpa","of SCAMIT 1994",,
"Acteocina harpa","Retusa (Coleophysis) harpa","of I. Oldroyd 1927",,
"Acteocina harpa","Utriculastra harpa","of Thiele 1925",,
"Acteocina inculta","Bulla (Tornatina) inculta","Gould 1855",,
"Acteocina inculta","Cylichnella inculta","of Gosliner 1979",,
"Haminoea vesicula","Bulla (Haminea) vesicula","Gould 1855",,
"Haminoea vesicula","Haminaea vesicula","of SCAMIT Ed 3",,
"Haminoea virescens","Bulla virescens","G. B. Sowerby I 1833",,
"Haminoea virescens","Haminaea virescens","of SCAMIT Ed 3",,
"Haminoea virescens","Haminoea cymbiformis","Carpenter 1857",,
"Haminoea virescens","Haminoea olgae","Dall 1919",,
"Haminoea virescens","Haminoea rosacea","Spicer 1933",,
"Haminoea virescens","Haminoea strongi","Baker & Hanna 1927",,
"Philine bakeri","Philine alba","of Abbott 1974 not Mattox 1958",,
"Philine hemphilli","Woodbridgea williamsi","S. S. Berry 1953",,
"Philine ornatissima","Philine sp A","of SCAMIT Ed 10",,
"Philine ornatissima","Philine sp 1","Gosliner 1996",,
"Philine polystrigma","Clistaxis ? polystrigma","Dall 1908",,
"Philine polystrigma","Woodbridgea polystrigma","of SCAMIT Ed 10",,
"Aglaja ocelligera","Doridium ocelligerum","Bergh 1893",,
"Aglaja ocelligera","Aglaja diomedea","of MacFarland 1966 in part",,
"Aglaja ocelligera","Aglaja phocae","of Rudman 1974",,
"Aglaja ocelligera","Chelidonura phocae","Er. Marcus 1961",,
"Aglaja ocelligera","Doridium adellae","Dall 1894",,
"Melanochlamys diomedea","Doridium diomedeum","Bergh 1893",,
"Melanochlamys diomedea","Aglaja diomedea","of MacFarland 1966 in part",,
"Melanochlamys diomedea","Aglaja nana","Steinberg & Jones 1960",,
"Melanochlamys diomedea","Aglaja sp A","Cadien 1989 º",,
"Melanochlamys diomedea","Melanochlamys nana","of Rudman 1972",,
"Navanax inermis","Strategus inermis","Cooper 1863",,
"Navanax inermis","Aglaja bakeri","MacFarland 1924",,
"Navanax inermis","Aglaja inermis","of Austin 1985",,
"Navanax inermis","Chelidonura inermis","of Er. Marcus 1961",,
"Navanax inermis","Doridium purpureum","Bergh 1893",,
"Navanax inermis","Navarchus inermis","of Cooper 1863",,
"Gastropteron pacificum","Gastropteron cinereum","Dall 1925",,
"Philinorbis albus","Philine alba","Mattox 1958",,
"Philinorbis albus","Philine bakeri","of Behrens 1991 not Dall 1919",,
"Philinorbis albus","Philine bakeri","of MacFarland 1966 in part not Dall 1919",,
"Laona californica","Philine californica","Willett 1944",,
"Cylichna attonsa","Cylichna ? Cylindracea var attonsa","Carpenter 1865",,
"Cylichna attonsa","Cylichna propinqua","E. A. Smith 1872",,
"Cylichna attonsa","Cylichnella (Bullinella) attonsa","of Dall 1921",,
"Cylichna diegensis","Cylichnella diegensis","Dall 1919",,
"Alderia willowi","Alderia modesta","of authors SCB not (L=ven 1844)",,
"Aplysiopsis enteromorphae","Phyllobranchopsis enteromorphae","Cockerell & Eliot 1905",,
"Aplysiopsis enteromorphae","Hermaeina smithi","Marcus 1961",,
"Aplysiopsis oliviae","Hermaeina oliviae","MacFarland 1966",,
"Placida dendritica","Calliopaea dendritica","Alder & Hancock 1843",,
"Trimusculus reticulatus","Mouretia reticulata","G. B. Sowerby I 1835",,
"Williamia peltoides","Nacella peltoides","Carpenter 1864",,
"Williamia peltoides","Liriola peltoides var vernalis","Dall 1878",,
"Williamia peltoides","Williamia galapagana","Dall 1909",,
"Acila castrensis","Nucula castrensis","Hinds 1843",,
"Acila castrensis","Acila (Truncacila) beringiana","Slodkevisch 1967",,
"Acila castrensis","Nucula divaricata","of Conrad 1848 not Hinds 1843",,
"Acila castrensis","Nucula empirensis","Howe 1922",,
"Acila castrensis","Nucula lyalli","W. Baird 1863",,
"Ennucula lincki","Nucula lincki","Dall 1916",,
"Ennucula tenuis","Arca tenuis","Montagu 1808",,
"Ennucula tenuis","Nucula bellotii","A. Adams 1856",,
"Ennucula tenuis","Nucula expansa","of Reeve 1855 not Brown 1848",,
"Ennucula tenuis","Nucula inflata","of Hancock 1846 not G. B. Sowerby I 1827",,
"Ennucula tenuis","Nucula quirica","Dall 1916",,
"Ennucula tenuis","Nucula tenuis","of Bernard 1983",,
"Ennucula tenuis","Nucula tenuis lucida","Whiteaves 1887",,
"Ennucula tenuis","Nucula (Ennucula) balboana","Herlein & Grant 1972",,
"Ennucula tenuis","Nucula (Leionucula) leptodonta","Bernard 1983",,
"Nucula carlottensis","Nucula keenae","Bernard 1983",,
"Nucula carlottensis","Nucula takashii","Bernard 1983",,
"Nucula exigua","Nucula paytensis","A. Adams 1856",,
"Nucula exigua","Nucula suprastriata","Arnold 1903",,
"Acharax johnsoni","Solemya johnsoni","Dall 1891",,
"Solemya pervernicosa","Solemya reidi","Bernard 1980",,
"Solemya pervernicosa","Solemya panamensis","of authors NEP not Dall 1908",,
"Huxleyia munita","Cyrilla munita","Dall 1898",,
"Huxleyia munita","Nucinella munita","(Dall 1898)",,
"Huxleyia munita","Nucula petriola","Dall 1916",,
"Tindariopsis grasslei","Nuculana grasslei","J. A. Allen 1993",,
"Nuculana conceptionis","Leda conceptionis","Dall 1896",,
"Nuculana conceptionis","Leda gomphoidea","Dall 1916",,
"Nuculana extenuata","Leda extenuata","Dall 1897",,
"Nuculana hamata","Leda hamata","Carpenter 1864",,
"Nuculana hamata","Nuculana limata","(Dall 1916)",,
"Nuculana hamata","Nuculana (Thestyleda) hamata","of Hertlein & Strong 1940",,
"Nuculana taphria","Leda taphria","Dall 1896",,
"Nuculana taphria","Nuculana caelata","of (Hinds 1843) not (Conrad 1833)",,
"Nuculana sp A","Nuculana elenensis","of authors NEP not G. B. Sowerby I in Broderip & Sowerby 1833",,
"Nuculana sp B","Nuculana sp B","SCAMIT 2010 º",,
"Nuculana sp B","Nuculana leonina","of authors NEP not (Dall 1896)",,
"Nuculana sp B","Nuculana navisa","of OCSD not (Dall 1916)",,
"Saccella penderi","Leda penderi","Dall & Bartsch 1910",,
"Saccella penderi","Nuculana acuta","of authors not (Conrad 1832)",,
"Saccella penderi","Nuculana burchi","Willett 1944",,
"Saccella penderi","Nuculana oxia","Dall 1916",,
"Saccella penderi","Nuculana penderi","of SCAMIT Ed 6",,
"Saccella penderi","Nuculana redondoensis","J. Burch 1944",,
"Ledella fiascona","Leda fiascona","Dall 1916",,
"Neilonella mexicana","Tindaria mexicana","Dall 1908",,
"Neilonella ritteri","Tindaria ritteri","Dall 1916",,
"Neilonella ritteri","Tindaria californica","Dall 1916",,
"Yoldia seminuda","Nucula arctica","of Broderip & G. B. Sowerby I 1829 not J. E. Gray 1824",,
"Yoldia seminuda","Yoldia ensifera","Dall 1897",,
"Yoldia seminuda","Yoldia ensifera plena","Dall 1908",,
"Yoldia seminuda","Yoldia scissurata","Dall 1897",,
"Yoldia seminuda","Yoldia (Cnesterium) excavata","Dall 1925",,
"Yoldia seminuda","Yoldia (Cnesterium) strigata","Dall 1909",,
"Yoldiella nana","Yoldia nana","M. Sars 1865",,
"Anadara multicostata","Arca multicostata","G. B. Sowerby I 1833",,
"Anadara tuberculosa","Arca tuberculosa","G. B. Sowerby I 1833",,
"Anadara tuberculosa","Arca secticostata","Reeve 1844",,
"Glycymeris septentrionalis","Pectunculus septentrionalis","Middendorff 1849",,
"Glycymeris septentrionalis","Axinaea (? Septentrionalis) subobsoleta","Carpenter 1864",,
"Glycymeris septentrionalis","Glycymeris guadalupensis","A. M. Strong 1938",,
"Glycymeris septentrionalis","Glycymeris (Axinola) septentrionalis","of Coan & Scott 1997",,
"Arcopsis solida","Arca solida","G. B. Sowerby I 1833",,
"Arcopsis solida","Barbatia digueti","Mabille 1895",,
"Philobrya setosa","Bryophila setosa","Carpenter 1864",,
"Brachidontes adamsianus","Mytilus adamsianus","Dunker 1857",,
"Crenella decussata","Mytilus decussatus","Montagu 1808",,
"Crenella decussata","Crenella decussata laticostata","Scarlato 1960",,
"Crenella decussata","Crenella divaricata","of authors NEP not Orbigny 1847",,
"Crenella decussata","Crenella ecuadoriana","Pilsbry & Olsson 1941",,
"Crenella decussata","Crenella ? inflata","of Carpenter 1864",,
"Crenella decussata","Crenella yokoyamai","Nomura 1932",,
"Gregariella coarctata","Crenella coarctata","Carpenter 1857",,
"Gregariella coarctata","Gregariella chenui","of authors not (RTcluz 1842)",,
"Gregariella coarctata","Gregariella coralliophaga","of authors not (Gmelin 1791)",,
"Gregariella coarctata","Modiolaria denticulata","Dall 1871",,
"Musculista senhousia","Modiola senhousia","Benson in Cantor 1842",,
"Musculista senhousia","Modiola bellardina","Tapparone-Canefri 1874",,
"Musculista senhousia","Musculus senhousei","of Cadien 1980",,
"Solamen columbianum","Crenella columbiana","Dall 1897",,
"Solamen columbianum","Crenella rotundata","Dall 1916",,
"Solamen columbianum","Crenella tamurai","Habe 1955",,
"Solamen columbianum","Megacrenella columbiana","of Bernard 1983",,
"Solamen columbianum","Rhomboidella columbiana","of Abbott 1974",,
"Solamen megas","Crenella megas","Dall 1902",,
"Adula diegensis","Modiolus diegensis","Dall 1911",,
"Adula gruneri","Modiola (Lithophagus) gruneri","R.A. Philippi 1851",,
"Lithophaga aristata","Mytilus aristatus","Dillwyn 1817",,
"Lithophaga plumula","Lithodomus plumula","Hanley 1844",,
"Lithophaga plumula","Lithophaga plumula kelseyi","Hertlein & Strong 1946",,
"Lithophaga plumula","Lithophaga subula","of Soot-Ryen 1955 not (Reeve 1857)",,
"Amygdalum pallidulum","Modiolus pallidulus","Dall 1916",,
"Amygdalum pallidulum","Amygdalum politum","of SCAMIT Ed 6",,
"Geukensia demissa","Mytilus demissus","Dilwyn 1817",,
"Geukensia demissa","Modiola plicatula","Lamarck 1819",,
"Geukensia demissa","Modiola semicostata","Conrad 1837",,
"Modiolatus neglectus","Modiolus neglectus","Soot-Ryen 1955",,
"Modiolatus neglectus","Volsella rectus","of authors not Conrad 1837",,
"Modiolus capax","Modiola capax","Conrad 1837",,
